CQC Location ID,CQC Provider ID,Hospital Name,Provider Name,Address Line 1,Address Line 2,Town/City,County,Postal Code,Region,Local Authority,Constituency,Latitude,Longitude,Phone,Website,Number of Beds,Has Beds,Registration Date,Rating,Rating Date,Service Types,Specialisms,Companies House Number,Last Updated
1-129798412,1-102643305,Spire Southampton Hospital,Spire Healthcare Limited,Chalybeate Close,,Southampton,Hampshire,SO16 6UY,South East,Southampton,Southampton Test,50.930607,-1.432728,02380775544,www.spirehealthcare.com/southampton,78,Yes,2010-11-03,Not rated,,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:15:45.773Z
1-14978193657,1-14348430803,Berkshire Grove Hospital,Berkshire Grove Hospital Ltd,Grove House,"Waltham Road, White Waltham",Maidenhead,,SL6 3TN,South East,Windsor and Maidenhead,Maidenhead,51.4900806,-0.7745754,,,0,No,2023-08-08,Not rated,,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs,13826038,2025-11-01T23:16:05.109Z
1-15476909220,1-15351576653,One Ashford Hospital,PHG Hospitals A Limited,"Unit C, Kennington Road",Willesborough,Ashford,,TN24 0YS,South East,Kent,Ashford,51.1426652,0.9117604,01233423000,www.onehealthcare.co.uk,0,No,2023-09-06,Good,2017-09-05,Hospital,Services for everyone,14550905,2025-11-01T23:16:08.868Z
1-1675529321,1-1488601653,The Royal Buckinghamshire Hospital,The Royal Buckinghamshire Hospital Limited,Buckingham Road,,Aylesbury,Buckinghamshire,HP19 9AB,South East,Buckinghamshire,Aylesbury,51.8207287,-0.8158951,01296678800,www.royalbucks.co.uk,22,Yes,2014-09-19,Good,2021-12-16,Hospital; Diagnosis/screening; Long-term conditions; Rehabilitation (illness/injury),Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,08435515,2025-11-01T23:16:14.876Z
1-2115222657,1-101728244,"The McIndoe Centre, part of Horder Healthcare",Horder Healthcare,McIndoe Surgical Centre,Holtye Road,East Grinstead,West Sussex,RH19 3EB,South East,West Sussex,East Grinstead and Uckfield,51.1340176,-0.0023895,01342330300,www.themcindoecentre.co.uk,0,No,2015-07-03,Good,2017-03-31,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,,2025-11-01T23:16:38.716Z
1-2254088615,1-116865921,"Practice Plus Group Hospital, Southampton",Practice Plus Group Hospitals Limited,"Level C, Royal South Hants Hospital",Brintons Terrace,Southampton,Hampshire,SO14 0YG,South East,Southampton,Southampton Test,50.912389,-1.397076,01206752552,www.southamptontreatmentcentre.nhs.uk,0,No,2015-10-30,Good,2022-01-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03462881,2025-11-01T23:16:47.774Z
1-24152030458,1-22156123748,Azara International Limited,Azara International Limited,Azara House,8 Chilston Road,Tunbridge Wells,,TN4 9LT,South East,Kent,Tunbridge Wells,51.1412695,0.2635341,02034179980,www.dominicbray.com,0,No,2025-09-08,Good,2020-03-23,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,16264810,2025-11-01T23:16:56.311Z
1-2745284068,1-102643305,Spire Dunedin Hospital,Spire Healthcare Limited,16 Bath Road,,Reading,,RG1 6NS,South East,Reading,Reading Central,51.4504637,-0.9857871,,www.spirehealthcare.com,0,No,2016-07-01,Good,2022-05-19,Hospital,Services for everyone,01522532,2025-11-01T23:17:03.128Z
1-2745447408,1-102643305,Spire Clare Park Hospital,Spire Healthcare Limited,Clare Park,,Farnham,Surrey,GU10 5XX,South East,Hampshire,North East Hampshire,51.225128,-0.847488,,www.spirehealthcare.com,0,No,2016-07-01,Not rated,,Hospital,Services for everyone,01522532,2025-11-01T23:17:03.262Z
1-2745569338,1-102643305,Spire Thames Valley Hospital,Spire Healthcare Limited,Wexham Street,Wexham,Slough,Berkshire,SL3 6NH,South East,Buckinghamshire,Beaconsfield,51.542787,-0.572415,01753665468,www.spirehealthcare.com,0,No,2016-07-01,Good,2020-02-03,Hospital,Services for everyone,01522532,2025-11-01T23:17:03.481Z
1-298932083,1-274331683,Caterham Dene Hospital,First Community Health & Care C.I.C.,Church Road,,Caterham,Surrey,CR3 5RA,South East,Surrey,East Surrey,51.2841025,-0.0856553,,www.firstcommunityhealthcare.co.uk,0,No,2011-09-30,No published rating,,Hospital; Diagnosis/screening; Urgent care centres,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities,07711859,2025-11-01T23:17:07.732Z
1-445725083,1-425255541,CircleReading,Circle Hospital (Reading) Limited,100 Drake Way,,Reading,Berkshire,RG2 0NE,South East,Reading,Earley and Woodley,51.4293321,-0.9763873,01189226899,www.circlepartnership.co.uk/locations/reading,0,No,2012-07-09,Good,2019-10-24,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs,06995585,2025-11-01T23:17:30.413Z
1-522837355,1-480990022,The Montefiore Hospital,Montefiore House Limited,2 Montefiore Road,,Hove,East Sussex,BN3 1RD,South East,Brighton and Hove,Hove and Portslade,50.831848,-0.154872,07725262419,www.spirehealthcare.com,0,No,2012-11-15,Outstanding,2017-09-22,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,07414715,2025-11-01T23:17:39.197Z
1-6548548760,1-6369347853,The New Foscote Hospital,The New Foscote Hospital Limited,2 Foscote Rise,,Banbury,Oxfordshire,OX16 9XP,South East,Oxfordshire,Banbury,52.0533475,-1.3309783,01295252281,,0,No,2019-04-01,Good,2021-08-24,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,11742951,2025-11-01T23:17:51.400Z
1-9146169306,1-101634455,Basingstoke Dialysis Unit,B. Braun Avitum UK Limited,Unit 7,"Ringway Centre, Edison Road",Basingstoke,,RG21 6YH,South East,Hampshire,Basingstoke,51.2761488,-1.1044239,01256338580,www.nephrocare.co.uk,0,No,2020-07-13,Good,2022-10-10,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,04153656,2025-11-01T23:18:05.845Z
1-115574313,1-102643516,Nuffield Health Bournemouth Hospital,Nuffield Health,67-71 Lansdowne Road,,Bournemouth,Dorset,BH1 1RW,South West,"Bournemouth, Christchurch and Poole",Bournemouth West,50.730406,-1.870932,01202291866,www.nuffieldhealth.com/hospitals/bournemouth,57,Yes,2010-11-26,Good,2022-06-21,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:19:10.404Z
1-115574419,1-102643516,Nuffield Health Cheltenham Hospital,Nuffield Health,Hatherley Lane,,Cheltenham,Gloucestershire,GL51 6SY,South West,Gloucestershire,Cheltenham,51.8919335,-2.1299142,01242246500,www.nuffieldhealth.com/hospitals/cheltenham,42,Yes,2010-11-26,Good,2023-01-17,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:19:10.616Z
1-115574477,1-102643516,Nuffield Health Exeter Hospital,Nuffield Health,Wonford Road,,Exeter,Devon,EX2 4UG,South West,Devon,Exeter,50.7162995,-3.5112997,01392262111,www.nuffieldhealth.com/hospitals/exeter,45,Yes,2010-11-26,Good,2016-10-26,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:19:10.718Z
1-115574658,1-102643516,Nuffield Health Plymouth Hospital,Nuffield Health,Derriford Road,,Plymouth,Devon,PL6 8BG,South West,Plymouth,Plymouth Moor View,50.4186534,-4.1144888,01752775861,www.nuffieldhealth.com/hospitals/plymouth,41,Yes,2010-11-26,Good,2022-07-19,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:19:10.830Z
1-115574698,1-102643516,Nuffield Health Taunton Hospital,Nuffield Health,Staplegrove Elm,,Taunton,Somerset,TA2 6AN,South West,Somerset,Taunton and Wellington,51.0287984,-3.1282644,01823286991,www.nuffieldhealth.com/hospitals/taunton,41,Yes,2010-11-26,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:19:10.951Z
1-119269999,1-101727364,Sulis Bath Hospital Limited,Sulis Hospital Bath Limited,Foxcote Avenue,"Bath Business Park, Peasedown St John",Bath,Avon,BA2 8SQ,South West,Bath and North East Somerset,Frome and East Somerset,51.311327,-2.416516,01761422222,www.circlebath.co.uk,30,Yes,2011-01-18,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,06296104,2025-11-01T23:19:15.307Z
1-128732707,1-102643458,Duchy Hospital,Ramsay Health Care UK Operations Limited,Penventinnie Lane,Treliske,Truro,Cornwall,TR1 3UP,South West,Cornwall,Truro and Falmouth,50.2679237,-5.0936128,01872226100,www.ramsayhealth.co.uk,30,Yes,2010-10-12,Good,2022-08-02,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:19:22.484Z
1-128732982,1-102643458,Mount Stuart Hospital,Ramsay Health Care UK Operations Limited,St Vincents Road,,Torquay,Devon,TQ1 4UP,South West,Torbay,Torbay,50.4750789,-3.5417719,01803313881,www.ramsayhealth.co.uk,31,Yes,2010-12-20,Good,2018-10-08,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:19:22.711Z
1-128732997,1-102643458,New Hall Hospital,Ramsay Health Care UK Operations Limited,Bodenham,,Salisbury,Wiltshire,SP5 4EW,South West,Wiltshire,Salisbury,51.03273,-1.763438,01722422333,www.ramsayhealth.co.uk,48,Yes,2010-12-20,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:19:22.838Z
1-128733195,1-102643458,Winfield Hospital,Ramsay Health Care UK Operations Limited,Tewkesbury Road,Longford,Gloucester,Gloucestershire,GL2 9WH,South West,Gloucestershire,Gloucester,51.8804454,-2.2424275,01452331111,www.ramsayhealth.co.uk,45,Yes,2010-12-20,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:19:22.944Z
1-128758255,1-102643500,Bath Clinic,Circle Health Group Limited,Claverton Down Road,Combe Down,Bath,Somerset,BA2 7BR,South West,Bath and North East Somerset,Bath,51.3642742,-2.3320408,01225835555,www.circlehealthgroup.co.uk/hospitals/bath-clinic,75,Yes,2011-05-11,Good,2022-05-18,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:19:23.092Z
1-128766841,1-102643500,The Harbour Hospital,Circle Health Group Limited,St Marys Road,,Poole,Dorset,BH15 2BH,South West,"Bournemouth, Christchurch and Poole",Poole,50.7219959,-1.9756881,01202244200,www.circlehealthgroup.co.uk/hospitals/the-harbour-hospital,40,Yes,2011-05-11,Good,2022-02-07,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs,02164270,2025-11-01T23:19:23.180Z
1-128767148,1-102643500,The Ridgeway Hospital,Circle Health Group Limited,Moormead Road,Wroughton,Swindon,Wiltshire,SN4 9DD,South West,Swindon,East Wiltshire,51.5253259,-1.7861508,01793814848,www.circlehealthgroup.co.uk/hospitals/the-ridgeway-hospital,50,Yes,2011-05-11,Good,2022-06-29,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:19:23.299Z
1-128767396,1-102643500,The Winterbourne Hospital,Circle Health Group Limited,Herringston Road,,Dorchester,Dorset,DT1 2DR,South West,Dorset,West Dorset,50.701008,-2.4418648,01305263252,www.circlehealthgroup.co.uk/hospitals/the-winterbourne-hospital,38,Yes,2011-05-11,Requires improvement,2022-09-15,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:19:23.401Z
1-129783097,1-102643305,Spire Bristol Hospital,Spire Healthcare Limited,The Glen,"Redland Hill, Durdham Down",Bristol,,BS6 6UT,South West,"Bristol, City of",Bristol Central,51.4720423,-2.6148676,01179804000,www.spirehealthcare.com/bristol,80,Yes,2010-10-13,Good,2022-06-23,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:19:24.085Z
1-14395393170,1-9371603807,North Bristol Private Hospital,EP SURGICAL LTD,150 Aztec West,Almondsbury,Bristol,,BS32 4UB,South West,South Gloucestershire,Filton and Bradley Stoke,51.5409738,-2.5681545,07427606908,www.elenaprousskaia.com,0,No,2023-02-07,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,10823510,2025-11-01T23:19:29.655Z
1-17981718469,1-126141122,Gloucester Royal Hospital Renal Units,Diaverum Facilities Management Limited,Gloucester Royal Hospital,Great Western Road,Gloucester,,GL1 3NN,South West,Gloucestershire,Gloucester,51.8663861,-2.2320695,01727737680,www.diaverum.com,0,No,2023-12-04,Requires improvement,2023-08-24,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities,06615243,2025-11-01T23:19:40.305Z
1-17981718583,1-126141122,Forest Dialysis Unit,Diaverum Facilities Management Limited,23 Newtown Road,,Cinderford,,GL14 3JE,South West,Gloucestershire,Forest of Dean,51.8364105,-2.5119536,03004228760,www.diaverum.com,0,No,2023-12-04,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities,06615243,2025-11-01T23:19:40.439Z
1-21589220733,1-21257866494,The Northwood Hospital,Severn Hospital Limited,Unit 1400,"Bristol Parkway North, Newbrick Road, Stoke Gifford",Bristol,,BS34 8YU,South West,South Gloucestershire,Filton and Bradley Stoke,51.5175708,-2.5312847,0785557252,www.northwoodhospital.co.uk,0,No,2025-10-10,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,14953614,2025-11-01T23:19:52.448Z
1-2251815469,1-116865921,Practice Plus Group Hospital - Emersons Green,Practice Plus Group Hospitals Limited,The Brooms,Emersons Green,Bristol,,BS16 7FH,South West,South Gloucestershire,Filton and Bradley Stoke,51.5039618,-2.4828766,01206752552,,0,No,2015-10-23,Good,2016-07-22,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03462881,2025-11-01T23:19:55.627Z
1-918228984,1-102643516,Nuffield Health Bristol Hospital - The Chesterfield,Nuffield Health,The Chesterfield,3 Clifton Hill,Bristol,Avon,BS8 1BN,South West,"Bristol, City of",Bristol Central,51.453605,-2.615998,,www.nuffieldhealth.com,0,No,2013-10-18,Not rated,,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,00576970,2025-11-01T23:20:41.758Z
1-9786536825,1-116865921,"Practice Plus Group Hospital, Shepton Mallet",Practice Plus Group Hospitals Limited,Old Wells Road,,Shepton Mallet,,BA4 4LP,South West,Somerset,Wells and Mendip Hills,51.1897318,-2.5627201,01749333600,,0,No,2020-11-06,Good,2023-06-21,Hospital,Services for everyone,03462881,2025-11-01T23:20:44.317Z
1-9786536853,1-116865921,"Practice Plus Group Hospital, Plymouth",Practice Plus Group Hospitals Limited,20 Brest Road,Plymouth International Business Park,Plymouth,Devon,PL6 5XP,South West,Plymouth,Plymouth Moor View,50.4125486,-4.1187608,01752506070,,0,No,2020-11-06,Good,2023-02-16,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03462881,2025-11-01T23:20:44.445Z
1-115574336,1-102643516,Nuffield Health Brentwood Hospital,Nuffield Health,Shenfield Road,,Brentwood,Essex,CM15 8EH,East,Essex,Brentwood and Ongar,51.6233334,0.3128496,01277695695,www.nuffieldhealth.com/hospitals/brentwood,48,Yes,2010-11-26,Good,2017-06-14,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:21:35.615Z
1-115574398,1-102643516,Nuffield Health Cambridge Hospital,Nuffield Health,4 Trumpington Road,,Cambridge,Cambridgeshire,CB2 8AF,East,Cambridgeshire,Cambridge,52.1900419,0.1239628,01223303336,www.nuffieldhealth.com/hospitals/cambridge,50,Yes,2010-11-26,Outstanding,2016-11-09,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:21:35.730Z
1-115574557,1-102643516,Nuffield Health Ipswich Hospital,Nuffield Health,Foxhall Road,,Ipswich,Suffolk,IP4 5SW,East,Suffolk,Suffolk Coastal,52.0475351,1.2289616,01473279100,www.nuffieldhealth.com/hospitals/ipswich,0,No,2010-11-26,Good,2016-11-30,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:21:35.826Z
1-128732743,1-102643458,Fitzwilliam Hospital,Ramsay Health Care UK Operations Limited,Milton Way,South Bretton,Peterborough,Cambridgeshire,PE3 9AQ,East,Peterborough,Peterborough,52.576488,-0.2975349,01733261717,www.ramsayhealth.co.uk,55,Yes,2010-10-12,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:21:44.364Z
1-128733050,1-102643458,Oaks Hospital,Ramsay Health Care UK Operations Limited,Oaks Place,Mile End Road,Colchester,Essex,CO4 5XR,East,Essex,Colchester,51.906301,0.894979,01206752121,www.ramsayhealth.co.uk,57,Yes,2010-12-20,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:21:44.588Z
1-128733068,1-102643458,Pinehill Hospital,Ramsay Health Care UK Operations Limited,Benslow Lane,,Hitchin,Hertfordshire,SG4 9QZ,East,Hertfordshire,Hitchin,51.9495738,-0.2622893,01462422822,www.ramsayhealth.co.uk,30,Yes,2010-10-12,Good,2019-03-01,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities,01532937,2025-11-01T23:21:44.720Z
1-128733105,1-102643458,Rivers Hospital,Ramsay Health Care UK Operations Limited,High Wych Road,High Wych,Sawbridgeworth,Hertfordshire,CM21 0HH,East,Hertfordshire,Hertford and Stortford,51.807096,0.130457,01279600282,www.ramsayhealth.co.uk,59,Yes,2010-10-12,Good,2019-03-25,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,01532937,2025-11-01T23:21:44.827Z
1-128733123,1-102643458,Springfield Hospital,Ramsay Health Care UK Operations Limited,Lawn Lane,Springfield,Chelmsford,Essex,CM1 7GU,East,Essex,Chelmsford,51.7533788,0.4846234,01245234000,www.ramsayhealth.co.uk,64,Yes,2010-12-20,Good,2019-01-17,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,01532937,2025-11-01T23:21:44.933Z
1-128767002,1-102643500,The Manor Hospital,Circle Health Group Limited,Church End,Biddenham,Bedford,Bedfordshire,MK40 4AW,East,Bedford,North Bedfordshire,52.1384177,-0.5138996,01234364252,www.circlehealthgroup.co.uk/hospitals/the-manor-hospital,23,Yes,2011-05-11,Good,2018-07-04,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:21:45.047Z
1-128767355,1-102643500,St Edmunds Hospital,Circle Health Group Limited,St Mary's Square,,Bury St Edmunds,Suffolk,IP33 2AA,East,Suffolk,Bury St Edmunds and Stowmarket,52.2400947,0.7194144,01284701371,www.circlehealthgroup.co.uk/hospitals/st-edmunds-hospital,31,Yes,2011-05-11,Good,2019-03-01,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,02164270,2025-11-01T23:21:45.530Z
1-12924819087,1-102643516,The Holly Private Hospital,Nuffield Health,High Road,,Buckhurst Hill,Essex,IG9 5HX,East,Essex,Epping Forest,51.6245135,0.0320392,02085053311,www.hollyhouse-hospital.co.uk,0,No,2022-06-01,Good,2017-05-25,Hospital,Services for everyone,00576970,2025-11-01T23:21:46.370Z
1-129798115,1-102643305,Spire Bushey Hospital,Spire Healthcare Limited,Bushey Hospital,"Heathbourne Road, Bushey Heath",Bushey,,WD23 1RD,East,Hertfordshire,Hertsmere,51.637343,-0.3317086,02089015524,www.spirehealthcare.com/bushey,76,Yes,2010-10-13,Good,2021-12-02,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:48.297Z
1-129798134,1-102643305,Spire Cambridge Lea Hospital,Spire Healthcare Limited,30 New Road,Impington,Cambridge,Cambridgeshire,CB24 9EL,East,Cambridgeshire,St Neots and Mid Cambridgeshire,52.2447777,0.1133923,01223266900,www.spirehealthcare.com/cambridge,53,Yes,2010-11-03,Good,2016-12-05,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:48.711Z
1-129798190,1-102643305,Spire Harpenden Hospital,Spire Healthcare Limited,Ambrose Lane,,Harpenden,Hertfordshire,AL5 4BP,East,Hertfordshire,Harpenden and Berkhamsted,51.8281369,-0.3603677,01582763191,www.spirehealthcare.com/harpenden,72,Yes,2010-11-03,Good,2017-01-09,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:49.122Z
1-129798209,1-102643305,Spire Hartswood Hospital,Spire Healthcare Limited,Eagle Way,,Brentwood,Essex,CM13 3LE,East,Essex,Brentwood and Ongar,51.6004153,0.2930503,01277232525,www.spirehealthcare.com/hartswood,58,Yes,2010-11-03,Good,2022-03-22,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:49.443Z
1-129798322,1-102643305,Spire Norwich Hospital,Spire Healthcare Limited,Old Watton Road,Colney,Norwich,Norfolk,NR4 7TD,East,Norfolk,South Norfolk,52.6271469,1.2257711,01603456181,www.spirehealthcare.com/norwich,67,Yes,2010-11-03,Good,2016-08-30,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:49.635Z
1-129798487,1-102643305,Spire Wellesley Hospital,Spire Healthcare Limited,Eastern Avenue,,Southend-on-Sea,Essex,SS2 4XH,East,Southend-on-Sea,Southend West and Leigh,51.5543989,0.7276182,01702462944,www.spirehealthcare.com/wellesley,51,Yes,2010-11-03,Good,2023-03-06,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:21:49.848Z
1-131348963,1-101729247,Orthopaedics and Spine Specialist Hospital,Orthopaedics And Spine Specialty Clinic Limited,1 Stirling Way,Bretton,Peterborough,Cambridgeshire,PE3 8YA,East,Peterborough,Peterborough,52.6049598,-0.2830225,01733333156,www.orthospine.co.uk,10,Yes,2011-02-03,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03955622,2025-11-01T23:21:50.593Z
1-15475038495,1-15352746892,One Hatfield Hospital,PHG Hospitals B Limited,3 Hatfield Avenue,,Hatfield,Hertfordshire,AL10 9UA,East,Hertfordshire,Welwyn Hatfield,51.7710434,-0.2365443,01707443333,www.onehealthcare.co.uk,0,No,2023-09-06,Good,2019-09-12,Hospital,Services for everyone,14550986,2025-11-01T23:22:08.145Z
1-7784742645,1-7664539395,Phoenix Hospital Chelmsford,Phoenix Hospital Investments Ltd,Essex Healthcare Park,"West Hanningfield Road, Great Baddow",Chelmsford,,CM2 8FR,East,Essex,Chelmsford,51.7063915,0.5029533,01245801234,www.phoenixhospitalgroup.com/our-locations/phoenix-hospital-chelmsford/,0,No,2019-11-01,Good,2022-07-15,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,12004528,2025-11-01T23:23:34.480Z
1-115574537,1-102643516,Nuffield Health Hereford Hospital,Nuffield Health,Venns Lane,,Hereford,Herefordshire,HR1 1DF,West Midlands,"Herefordshire, County of",North Herefordshire,52.0639166,-2.7000714,01432355131,www.nuffieldhealth.com/hospitals/hereford,23,Yes,2010-11-26,Good,2017-03-17,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:24:35.993Z
1-115574639,1-102643516,Nuffield Health North Staffordshire Hospital,Nuffield Health,Clayton Road,,Newcastle,Staffordshire,ST5 4DB,West Midlands,Staffordshire,Newcastle-under-Lyme,52.9873535,-2.2232999,01782625431,www.nuffieldhealth.com/hospitals/north-staffordshire,40,Yes,2010-11-26,Good,2018-08-31,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:24:36.119Z
1-115574678,1-102643516,Nuffield Health Shrewsbury Hospital,Nuffield Health,Longden Road,,Shrewsbury,Shropshire,SY3 9DP,West Midlands,Shropshire,Shrewsbury,52.692253,-2.771455,01743282500,www.nuffieldhealth.com/hospitals/shrewsbury,34,Yes,2010-11-26,Good,2018-10-30,Hospital,Caring for adults over 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:24:36.215Z
1-115574798,1-102643516,Nuffield Health Warwickshire Hospital,Nuffield Health,The Chase,Old Milverton Lane,Leamington Spa,Warwickshire,CV32 6RW,West Midlands,Warwickshire,Warwick and Leamington,52.3112077,-1.5403456,01926427971,www.nuffieldhealth.com/hospitals/warwickshire,43,Yes,2010-11-26,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:24:36.397Z
1-115574857,1-102643516,Nuffield Health Wolverhampton Hospital,Nuffield Health,Wood Road,Tettenhall,Wolverhampton,Staffordshire,WV6 8LE,West Midlands,Wolverhampton,Wolverhampton West,52.5934759,-2.1715316,01902754177,www.nuffieldhealth.com/hospitals/wolverhampton,39,Yes,2010-11-26,Good,2022-10-11,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:24:36.499Z
1-128732964,1-102643458,Rowley Hall Hospital,Ramsay Health Care UK Operations Limited,Rowley Park,,Stafford,Staffordshire,ST17 9AQ,West Midlands,Staffordshire,Stafford,52.7947932,-2.1262779,01785332898,www.ramsayhealth.co.uk,15,Yes,2010-12-20,Good,2023-04-06,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:24:46.238Z
1-128733177,1-102643458,West Midlands Hospital,Ramsay Health Care UK Operations Limited,Colman Hill,,Halesowen,West Midlands,B63 2AH,West Midlands,Dudley,Halesowen,52.4578278,-2.0766685,01384560123,www.ramsayhealth.co.uk,34,Yes,2010-12-20,Requires improvement,2022-07-05,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,01532937,2025-11-01T23:24:46.355Z
1-128758696,1-102643500,The Droitwich Spa Hospital,Circle Health Group Limited,St Andrews Road,,Droitwich,Worcestershire,WR9 8DN,West Midlands,Worcestershire,Droitwich and Evesham,52.266267,-2.150996,01905793333,www.circlehealthgroup.co.uk/hospitals/the-droitwich-spa-hospital,46,Yes,2011-05-11,Not rated,,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:24:46.593Z
1-128767023,1-102643500,The Meriden Hospital,Circle Health Group Limited,Walsgrave Hospital Site,Clifford Bridge Road,Coventry,West Midlands,CV2 2LQ,West Midlands,Coventry,Coventry East,52.4233825,-1.4381631,02476647025,www.circlehealthgroup.co.uk/hospitals/the-meriden-hospital,52,Yes,2011-05-11,Good,2024-03-07,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:24:46.704Z
